Zeitstempel	Bitte geben Sie Ihr Alter in Jahren an	Besitzen Sie ein Säule 3a-Konto und zahlen ein?	In welchem Alter haben Sie zum ersten mal auf Ihr Säule 3a-Konto eingezahlt.	Was möchten Sie mit Ihrem Säule 3a-Konto erreichen?	Wie wichtig ist Ihr Säule 3a-Konto für Ihre Altersvorsorge?	Aus welchen Gründen haben Sie kein Säule 3a-Konto?	Wie wahrscheinlich ist es, dass Sie in den nächsten 5 Jahren ein 3a-Konto eröffnen?	Wie wichtig ist die Altersvorsorge für Sie generell?
30.09.2024 09:18:31	52	Ja, ich habe ein 3a-Konto und ich bezahle ein.	25	Altersvorsorge, Steuern sparen	4			4
30.09.2024 09:23:31	61	Ja, ich habe ein 3a-Konto und ich bezahle ein.	48	Altersvorsorge, Steuern sparen	4			5
30.09.2024 09:23:50	20	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Kein Interesse	1	4
30.09.2024 09:34:04	59	Ja, ich habe ein 3a-Konto und ich bezahle ein.	30	Altersvorsorge, Steuern sparen	4			5
30.09.2024 09:34:36	34	Ja, ich habe ein 3a-Konto und ich bezahle ein.	20	Steuern sparen	4			3
30.09.2024 10:28:14	57	Ja, ich habe ein 3a-Konto und ich bezahle ein.	30	Altersvorsorge, Steuern sparen	5			5
30.09.2024 10:54:22	61	Ja, ich habe ein 3a-Konto und ich bezahle ein.	38	Altersvorsorge, Steuern sparen	4			5
30.09.2024 12:14:23	63	Ja, ich habe ein 3a-Konto und ich bezahle ein.	55	Altersvorsorge, Steuern sparen	3			5
30.09.2024 18:06:28	32	Ja, ich habe ein 3a-Konto und ich bezahle ein.	28	Altersvorsorge, Steuern sparen, Kapital aufbauen für Eigenheim Erwerb, Gewinn durch Anlegen in Aktien	5			4
01.10.2024 06:15:41	36	Ja, ich habe ein 3a-Konto und ich bezahle ein.	23	Altersvorsorge, Steuern sparen, Kapital aufbauen für Eigenheim Erwerb, Kapital aufbauen für Firmengründung	5			4
01.10.2024 13:34:19	57	Ja, ich habe ein 3a-Konto und ich bezahle ein.	33	Altersvorsorge, Steuern sparen	4			4
03.10.2024 04:08:37	40	Ja, ich habe ein 3a-Konto und ich bezahle ein.	26	Altersvorsorge, Steuern sparen	4			4
03.10.2024 13:50:30	33	Ja, ich habe ein 3a-Konto und ich bezahle ein.	28	Altersvorsorge	4			4
03.10.2024 14:25:40	21	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Ich habe vor es einzurichten., Habe mich nie darum gekümmert	4	3
03.10.2024 14:27:26	22	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Habe mich nie darum gekümmert	2	2
03.10.2024 14:49:16	24	Ja, ich habe ein 3a-Konto und ich bezahle ein.	16	Altersvorsorge, Steuern sparen, Kapital aufbauen für Eigenheim Erwerb	5			5
03.10.2024 14:55:43	22	Ja, ich habe ein 3a-Konto und ich bezahle ein.	20	Altersvorsorge, Steuern sparen	3			3
03.10.2024 15:25:52	36	Ja, ich habe ein 3a-Konto und ich bezahle ein.	30	Altersvorsorge, Steuern sparen, Kapital aufbauen für Eigenheim Erwerb	2			5
04.10.2024 12:09:53	58	Ja, ich habe ein 3a-Konto und ich bezahle ein.	40	Altersvorsorge, Steuern sparen	5			4
06.10.2024 18:35:32	22	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Verstehe es noch zu wenig, Habe mich nie darum gekümmert	2	2
06.10.2024 18:39:23	23	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Habe mich nie darum gekümmert, Ich verdiene momentan noch kaum etwas (Studentin)	2	4
06.10.2024 18:39:55	27	Ich weiss nicht						
06.10.2024 20:24:25	33	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Zu wenig einkommen atm	2	2
07.10.2024 07:35:08	23	Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.				Habe mich nie darum gekümmert	2	3
07.10.2024 08:13:22	41	Ja, ich habe ein 3a-Konto und ich bezahle ein.	20	Altersvorsorge, Steuern sparen	4			5
07.10.2024 08:24:44	41	Ja, ich habe ein 3a-Konto und ich bezahle ein.	36	Altersvorsorge, Steuern sparen	5			4
07.10.2024 11:00:56	22	Ja, ich habe ein 3a-Konto und ich bezahle ein.	21	Altersvorsorge, Steuern sparen	4			4
10.10.2024 07:55:21	55	Ja, ich habe ein 3a-Konto und ich bezahle ein.	30	Altersvorsorge, Steuern sparen	5			4
14.10.2024 10:48:38	60	Ja, ich habe ein 3a-Konto und ich bezahle ein.	44	Altersvorsorge	5			5
